customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
QZ44356,ARIZONA,F,BACHELOR,697953.59,0.0,94.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,1131.464935
AI49188,NEVADA,F,BACHELOR,1288743.17,48767.0,108.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,566.472247
WW63253,CALIFORNIA,M,BACHELOR,764586.18,0.0,106.0,1/0/00,CORPORATE AUTO,SUV,529.881344
GA49547,WASHINGTON,M,HIGH SCHOOL OR BELOW,536307.65,36357.0,68.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,17.269323
OC83172,OREGON,F,BACHELOR,825629.78,62902.0,69.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,159.383042
XZ87318,OREGON,F,COLLEGE,538089.86,55350.0,67.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,321.6
CF85061,ARIZONA,M,MASTER,721610.03,0.0,101.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,363.02968
DY87989,OREGON,M,BACHELOR,2412750.4,14072.0,71.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,511.2
BQ94931,OREGON,F,COLLEGE,738817.81,28812.0,93.0,1/0/00,SPECIAL AUTO,FOUR-DOOR CAR,425.527834
SX51350,CALIFORNIA,M,COLLEGE,473899.2,0.0,67.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,482.4
QK46697,WASHINGTON,M,BACHELORS,617710.93,61040.0,79.0,1/1/00,PERSONAL AUTO,TWO-DOOR CAR,20.382876
HS14476,WASHINGTON,M,COLLEGE,916206.32,29723.0,80.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,20.985105
HD95276,WASHINGTON,F,COLLEGE,473787.17,0.0,130.0,1/0/00,PERSONAL AUTO,SUV,23.820158
YD87931,WASHINGTON,M,DOCTOR,495165.61,46896.0,35354.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,31.707317
NW21079,WASHINGTON,F,MASTER,487938.48,67163.0,61.0,1/2/00,PERSONAL AUTO,TWO-DOOR CAR,33.192803
YB66933,WASHINGTON,F,BACHELOR,538275.2,77552.0,68.0,1/1/00,CORPORATE AUTO,FOUR-DOOR CAR,45.215059
OW15518,WASHINGTON,F,COLLEGE,1595001.95,0.0,87.0,1/1/00,PERSONAL AUTO,TWO-DOOR CAR,46.041452
GP39118,WASHINGTON,M,HIGH SCHOOL OR BELOW,499655.27,71600.0,63.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,46.158117
SG20925,WASHINGTON,F,MASTER,518579.76,99428.0,6464.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,48.046869
FM14335,WASHINGTON,F,COLLEGE,1048491.54,61108.0,89.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,49.451117
HS28694,WASHINGTON,F,HIGH SCHOOL OR BELOW,282986.39,25317.0,71.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,50.422181
LH92841,WASHINGTON,F,BACHELORS,725595.38,88891.0,89.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,50.528355
AZ95587,AZ,F,BACHELOR,1038855.32,61222.0,89.0,1/0/00,SPECIAL AUTO,FOUR-DOOR CAR,392.604371
DS81757,OREGON,M,COLLEGE,247012.12,0.0,74.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,721.242206
OJ94107,AZ,M,MASTER,561906.85,50335.0,140.0,1/0/00,PERSONAL AUTO,SUV,456.52385
LP84436,CALIFORNIA,F,HIGH SCHOOL OR BELOW,904711.92,0.0,127.0,1/0/00,PERSONAL AUTO,SPORTS CAR,1087.995426
FF22360,WASHINGTON,F,DOCTOR,268731.41,82210.0,68.0,1/4/00,PERSONAL AUTO,FOUR-DOOR CAR,51.961915
LM19287,OREGON,F,HIGH SCHOOL OR BELOW,373150.46,0.0,96.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,460.8
ZU18643,NEVADA,M,BACHELOR,366077.03,64495.0,92.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,251.992083
AZ82578,CALIFORNIA,F,COLLEGE,792882.93,0.0,72.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,345.6
XC67861,ARIZONA,F,BACHELOR,501175.16,28859.0,67.0,1/3/00,CORPORATE AUTO,TWO-DOOR CAR,321.6
YC43143,ARIZONA,F,HIGH SCHOOL OR BELOW,798825.83,77330.0,99.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,99.257608
EK59571,OREGON,M,COLLEGE,388545.64,0.0,105.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,504.0
PA38372,WASHINGTON,F,HIGH SCHOOL OR BELOW,935773.78,33060.0,117.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,56.731578
RO18530,WASHINGTON,M,MASTER,254068.98,42557.0,65.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,57.562324
PD27940,ARIZONA,M,HIGH SCHOOL OR BELOW,488516.25,26372.0,126.0,1/0/00,PERSONAL AUTO,SUV,604.8
BS77946,ARIZONA,F,BACHELOR,975330.71,17514.0,127.0,1/0/00,PERSONAL AUTO,SUV,8.312729
YM50253,CALIFORNIA,FEMAL,BACHELOR,294615.37,89270.0,74.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,316.599228
NR15332,CALIFORNIA,M,HIGH SCHOOL OR BELOW,258111.09,29757.0,65.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,312.0
RC62865,OREGON,M,COLLEGE,351738.58,51814.0,92.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,56.300724
CC15295,OREGON,F,BACHELOR,974335.01,24028.0,82.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,393.6
KA61892,ARIZONA,M,COLLEGE,387364.7,28142.0,105.0,1/0/00,PERSONAL AUTO,SPORTS CAR,701.708239
OS94884,ARIZONA,F,BACHELOR,764928.2,52705.0,64.0,1/1/00,PERSONAL AUTO,TWO-DOOR CAR,128.705563
ND87334,CALIFORNIA,M,HIGH SCHOOL OR BELOW,228759.69,0.0,63.0,1/0/00,CORPORATE AUTO,TWO-DOOR CAR,679.368378
OY51402,WASHINGTON,F,HIGH SCHOOL OR BELOW,825576.39,54040.0,103.0,1/0/00,PERSONAL AUTO,SUV,59.987126
YL74911,CALIFORNIA,F,COLLEGE,871492.21,0.0,118.0,1/0/00,PERSONAL AUTO,SUV,566.4
GK92563,WASHINGTON,F,DOCTOR,681923.12,22492.0,85.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,61.654262
HL53154,CALIFORNIA,M,BACHELOR,741619.73,0.0,77.0,1/2/00,PERSONAL AUTO,FOUR-DOOR CAR,554.4
RI78966,OREGON,M,MASTER,777115.9,21876.0,68.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,465.41477
IC13702,CALIFORNIA,F,BACHELOR,696834.19,0.0,69.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,496.8
BE10809,CALIFORNIA,F,HIGH SCHOOL OR BELOW,425028.26,0.0,61.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,292.8
HT87217,OREGON,F,HIGH SCHOOL OR BELOW,1977656.65,70699.0,82.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,256.813837
TH95618,CALIFORNIA,F,HIGH SCHOOL OR BELOW,2134346.6,0.0,74.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,355.2
TS19868,CALIFORNIA,M,COLLEGE,241313.97,27501.0,63.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,542.319401
LP45550,OREGON,F,DOCTOR,1536384.72,15897.0,101.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,303.148399
QR87004,NEVADA,F,COLLEGE,845696.19,25141.0,73.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,25.438063
OE75747,NEVADA,F,COLLEGE,218964.25,0.0,61.0,1/3/00,PERSONAL AUTO,FOUR-DOOR CAR,292.8
DX91392,CALIFORNIA,M,HIGH SCHOOL OR BELOW,578018.22,51066.0,74.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,787.993313
AB72731,CALIFORNIA,F,BACHELOR,463998.16,28358.0,117.0,1/0/00,PERSONAL AUTO,SPORTS CAR,84.024413
GX84338,WASHINGTON,F,DOCTOR,382443.13,62530.0,95.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,61.693771
IS12901,ARIZONA,F,BACHELOR,596811.89,90972.0,74.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,232.926145
BN90616,WASHINGTON,F,BACHELOR,859033.5,63110.0,72.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,68.179721
HH90090,CALIFORNIA,F,BACHELOR,407663.47,29549.0,104.0,1/0/00,PERSONAL AUTO,SPORTS CAR,710.433775
IU25463,CALIFORNIA,F,BACHELOR,1225260.18,0.0,115.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,552.0
KC11055,NEVADA,F,BACHELOR,1693627.15,39411.0,217.0,1/2/00,PERSONAL AUTO,LUXURY CAR,1122.658899
PD33979,OREGON,M,HIGH SCHOOL OR BELOW,489243.55,21709.0,62.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,408.374746
NK71023,NEVADA,M,BACHELOR,994230.48,67890.0,85.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,408.0
AB13432,CALIFORNIA,M,BACHELOR,373583.81,0.0,110.0,1/0/00,PERSONAL AUTO,SUV,792.0
OZ97704,CALIFORNIA,F,HIGH SCHOOL OR BELOW,1311752.22,84311.0,111.0,1/4/00,PERSONAL AUTO,SUV,532.8
UF46533,CALIFORNIA,F,COLLEGE,457452.41,99316.0,114.0,1/0/00,CORPORATE AUTO,SUV,754.358929
XP47431,ARIZONA,F,BACHELOR,547006.06,54507.0,138.0,1/0/00,PERSONAL AUTO,SUV,702.990032
GK73582,CALIFORNIA,F,BACHELOR,297884.6,64586.0,76.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,206.837111
RV98763,OREGON,M,COLLEGE,641096.75,61709.0,82.0,1/2/00,PERSONAL AUTO,FOUR-DOOR CAR,275.395894
II62831,CALIFORNIA,M,MASTER,447902.31,94656.0,111.0,1/1/00,SPECIAL AUTO,SUV,459.738128
XK33449,CALIFORNIA,F,HIGH SCHOOL OR BELOW,238373.19,0.0,69.0,1/0/00,SPECIAL AUTO,TWO-DOOR CAR,496.8
TR85083,CALIFORNIA,M,BACHELOR,276449.37,61085.0,70.0,1/1/00,PERSONAL AUTO,TWO-DOOR CAR,336.0
EO95328,OREGON,F,BACHELOR,792010.54,89284.0,67.0,1/3/00,PERSONAL AUTO,TWO-DOOR CAR,321.6
EN21086,ARIZONA,F,HIGH SCHOOL OR BELOW,688909.8,0.0,63.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,302.4
YL83902,WA,F,BACHELOR,327419.46,31686.0,81.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,430.994107
AZ62651,OREGON,M,HIGH SCHOOL OR BELOW,995170.77,56855.0,255.0,1/0/00,CORPORATE AUTO,LUXURY SUV,1836.0
ZW25874,OREGON,M,BACHELOR,252155.57,53703.0,67.0,1/2/00,SPECIAL AUTO,FOUR-DOOR CAR,67.632476
EH41854,WA,F,HIGH SCHOOL OR BELOW,2370611.34,0.0,96.0,1/1/00,PERSONAL AUTO,TWO-DOOR CAR,844.481918
MW70227,CALIFORNIA,M,COLLEGE,604702.52,20396.0,76.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,364.8
SL22297,CALIFORNIA,F,MASTER,1114030.25,27679.0,150.0,1/0/00,PERSONAL AUTO,SUV,722.486994
RV14138,NEVADA,F,BACHELOR,433406.41,23904.0,123.0,1/3/00,PERSONAL AUTO,SUV,590.4
UO62808,ARIZONA,F,HIGH SCHOOL OR BELOW,279974.79,65351.0,69.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,481.027516
ZX64745,CALIFORNIA,M,COLLEGE,792313.66,0.0,113.0,1/0/00,PERSONAL AUTO,SUV,1124.427734
FL34139,CALIFORNIA,M,HIGH SCHOOL OR BELOW,368811.09,0.0,63.0,1/3/00,PERSONAL AUTO,FOUR-DOOR CAR,669.682001
TS11219,CALIFORNIA,M,COLLEGE,1206745.6,0.0,116.0,1/0/00,PERSONAL AUTO,SUV,1284.093173
XX12304,CALIFORNIA,F,COLLEGE,292497.67,64459.0,72.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,240.259479
SD64087,CALIFORNIA,M,COLLEGE,1501409.27,32961.0,190.0,1/0/00,CORPORATE AUTO,SUV,912.0
OY38576,OREGON,F,HIGH SCHOOL OR BELOW,927723.38,71416.0,116.0,1/0/00,CORPORATE AUTO,SUV,556.8
BG76355,WA,F,BACHELOR,627412.39,68964.0,78.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,115.086827
IP66913,CALI,M,HIGH SCHOOL OR BELOW,388664.74,78108.0,98.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,470.4
LE95702,CALI,M,COLLEGE,438627.76,10621.0,67.0,1/0/00,SPECIAL AUTO,FOUR-DOOR CAR,321.6
